Subject
"['Welcome to Skidos!' 'Willkommen bei Skidos!' 'Velkommen til Skidos!'
 '[Skidos] Please reset your password' 'Welcome to Skidos NL!'
 'Bem-vindo ao Skidos!' '¡Bienvenido/a a SKIDOS!' '[Skidos] New password'
 'Bienvenue à skidos' '[Skidos] Redefina sua senha'
 'Välkommen till Skidos!' 'Restablecer contraseña'
 'Forgotten your password?' '[ALERT] Backend is down' 'Glemt passord?'
 'Benvenuto a skidos' '[Skidos] Nuova password'
 'Har du glemt din adgangskode?' 'Hai dimenticato la password?'
 'Welkom bij Skidos!' '[Skidos] Nova senha']"
"['¡Bienvenido/a a SKIDOS!' 'Welcome to Skidos!' '[Skidos] New password'
 'Willkommen bei Skidos!' 'Welcome to Skidos NL!'
 '[Skidos] Please reset your password' 'Bem-vindo ao Skidos!'
 'Benvenuto a skidos' 'Forgotten your password?'
 '[Skidos] Redefina sua senha' 'Velkommen til Skidos!'
 'Bienvenue à skidos' 'Välkommen till Skidos!' '[Skidos] Nuova password'
 'Restablecer contraseña' 'Glömt lösenord?' 'Hai dimenticato la password?'
 'Welkom bij Skidos!' 'Welcome to SKIDOS!' 'Har du glemt din adgangskode?']"
"['Welcome to Skidos!' 'Bienvenue à skidos' 'Welcome to Skidos NL!'
 '[Skidos] Please reset your password' '[Skidos] New password'
 'Velkommen til Skidos!' 'Välkommen till Skidos!'
 'Forgotten your password?' 'Welkom bij Skidos!' 'Willkommen bei Skidos!'
 '¡Bienvenido/a a SKIDOS!' 'Bem-vindo ao Skidos!' 'Glömt lösenord?'
 'Benvenuto a skidos' 'Restablecer contraseña'
 '[Skidos] Redefina sua senha' 'Glemt passord?' '[Skidos] Nova senha'
 'Hai dimenticato la password?' 'Har du glemt din adgangskode?'
 '[Skidos] Nuova password' 'Welcome to SKIDOS!']"
"['Forgotten your password?' 'Welcome to Skidos!'
 'Hai dimenticato la password?' 'Benvenuto a skidos'
 '¡Bienvenido/a a SKIDOS!' '[Skidos] Please reset your password'
 '[Skidos] New password' 'Velkommen til Skidos!' 'Bienvenue à skidos'
 'Bem-vindo ao Skidos!' 'Restablecer contraseña' 'Willkommen bei Skidos!'
 '[Skidos] Redefina sua senha' 'Välkommen till Skidos!'
 '[Skidos] Nova senha' 'Glömt lösenord?' 'Welcome to Skidos NL!'
 '[Skidos] Nuova password' 'Har du glemt din adgangskode?']"
"['[Skidos] Please reset your password' 'Welcome to Skidos!'
 'Bem-vindo ao Skidos!' '[Skidos] New password' 'Velkommen til Skidos!'
 'Forgotten your password?' '¡Bienvenido/a a SKIDOS!' 'Benvenuto a skidos'
 'Welcome to SKIDOS!' 'Välkommen till Skidos!' 'Bienvenue à skidos'
 'Welcome to Skidos NL!' 'Glömt lösenord?' 'Willkommen bei Skidos!'
 'Mot de passe oublié?' '[Skidos] Nova senha'
 'Har du glemt din adgangskode?' '[Skidos] Redefina sua senha'
 'Restablecer contraseña' '[Skidos] Nouveau mot de passe']"
"['Welcome to Skidos!' '[Skidos] Please reset your password'
 'Welcome to Skidos NL!' 'Välkommen till Skidos!' 'Bem-vindo ao Skidos!'
 '¡Bienvenido/a a SKIDOS!' 'Benvenuto a skidos' '[Skidos] New password'
 'Forgotten your password?' 'Willkommen bei Skidos!' 'Bienvenue à skidos'
 '[Skidos] Redefina sua senha' 'Hai dimenticato la password?'
 'Velkommen til Skidos!' '[Skidos] Nova senha' 'Glemt passord?'
 'Restablecer contraseña' '[Skidos] Nuova password' 'Glömt lösenord?'
 'Mot de passe oublié?' '[Skidos] Nouveau mot de passe'
 'Har du glemt din adgangskode?']"
"['Welcome to Skidos!' '[Skidos] New password'
 '[Skidos] Please reset your password' 'Bienvenue à skidos'
 '¡Bienvenido/a a SKIDOS!' 'Forgotten your password?'
 '[Skidos] Bitte setzen Sie ihr Passwort zurück' 'Willkommen bei Skidos!'
 'Velkommen til Skidos!' 'Bem-vindo ao Skidos!' 'Välkommen till Skidos!'
 'Glömt lösenord?' 'Har du glemt din adgangskode?' 'Benvenuto a skidos'
 'Welcome to SKIDOS!' 'Welcome to Skidos NL!' '[Skidos] Neues Passwort'
 'Restablecer contraseña' 'Glemt passord?' '[Skidos] Redefina sua senha']"
"['Welcome to Skidos!' '¡Bienvenido/a a SKIDOS!' 'Forgotten your password?'
 '[Skidos] Please reset your password' 'Bem-vindo ao Skidos!'
 'Velkommen til Skidos!' '[Skidos] New password' 'Welcome to Skidos NL!'
 'Välkommen till Skidos!' 'Restablecer contraseña'
 '[Skidos] Redefina sua senha' 'Bienvenue à skidos'
 'Willkommen bei Skidos!' 'Benvenuto a skidos' 'Glömt lösenord?'
 'Har du glemt din adgangskode?' '[Skidos] Nova senha' 'Glemt passord?']"
"['Welcome to Skidos!' 'Välkommen till Skidos!' 'Velkommen til Skidos!'
 'Willkommen bei Skidos!' '¡Bienvenido/a a SKIDOS!'
 'Forgotten your password?' 'Benvenuto a skidos' 'Bienvenue à skidos'
 '[Skidos] Please reset your password' 'Welcome to Skidos NL!'
 '[Skidos] Bitte setzen Sie ihr Passwort zurück' 'Bem-vindo ao Skidos!'
 '[Skidos] New password' 'Glömt lösenord?' '[Skidos] Nouveau mot de passe'
 'Restablecer contraseña' 'Mot de passe oublié?'
 '[Skidos] Redefina sua senha' 'Har du glemt din adgangskode?'
 '[Skidos] Neues Passwort' '[Skidos] Nova senha']"
"['[Skidos] New password' 'Welcome to Skidos!'
 '[Skidos] Please reset your password'
 '[Skidos] Bitte setzen Sie ihr Passwort zurück' 'Bienvenue à skidos'
 'Forgotten your password?' 'Glemt passord?' 'Velkommen til Skidos!'
 'Benvenuto a skidos' 'Welcome to Skidos NL!' 'Bem-vindo ao Skidos!'
 'Willkommen bei Skidos!' '¡Bienvenido/a a SKIDOS!'
 'Välkommen till Skidos!' 'Restablecer contraseña' 'Glömt lösenord?'
 'Hai dimenticato la password?' 'Welkom bij Skidos!' '[Skidos] Nova senha'
 '[Skidos] Redefina sua senha' '[Skidos] Nuova password']"
